task_index,category,label,objn,freq_bin,phrase_freq_in_category,source_image,condition_image,orig_source_path,orig_condition_path,pt1,pt2,bbox,orig_resolution,annot_source_size,annot_condition_size
1,mask,leather seat,leather-seat,head,17,images/mask/0001_mask_source.jpg,images/mask/0001_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00001/00009/000098976.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00001/00009/000098976_26_leather-seat.jpg,"[532, 723]","[1104, 818]","[643, 694, 993, 820]","{""height"": 1440, ""width"": 1920}",1024x768,1024x768
2,mask,balloons,balloons,head,228,images/mask/0002_mask_source.jpg,images/mask/0002_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00000/00027/000275729.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00000/00027/000275729_24_balloons.jpg,"[2594, 529]","[2983, 624]","[2649, 441, 2929, 686]","{""height"": 2448, ""width"": 3264}",1024x768,1024x768
3,mask,dresses,dresses,head,35,images/mask/0003_mask_source.jpg,images/mask/0003_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00003/00039/000399506.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00003/00039/000399506_1_dresses.jpg,"[1754, 1426]","[2116, 1521]","[0, 335, 3871, 2586]","{""height"": 2592, ""width"": 3872}",1024x685,1024x685
4,mask,ornaments,ornaments,head,82,images/mask/0004_mask_source.jpg,images/mask/0004_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00002/00018/000187803.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00002/00018/000187803_11_ornaments.jpg,"[2302, 311]","[2606, 381]","[2366, 198, 2543, 467]","{""height"": 2419, ""width"": 3642}",1024x680,1024x680
5,mask,chair covers,chair-covers,head,20,images/mask/0005_mask_source.jpg,images/mask/0005_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00004/00004/000048685.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00004/00004/000048685_2_chair-covers.jpg,"[1973, 1388]","[2560, 1483]","[2046, 1180, 2489, 1663]","{""height"": 1664, ""width"": 2500}",1024x681,1024x681
6,mask,floral dress,floral-dress,head,16,images/mask/0006_mask_source.jpg,images/mask/0006_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00004/00001/000013141.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00004/00001/000013141_15_floral-dress.jpg,"[924, 1289]","[1466, 1384]","[225, 1051, 2166, 1596]","{""height"": 1667, ""width"": 2500}",1024x682,1024x682
7,mask,cherries,cherries,head,24,images/mask/0007_mask_source.jpg,images/mask/0007_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00002/00028/000282754.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00002/00028/000282754_46_cherries.jpg,"[7, 176]","[384, 271]","[6, 0, 387, 423]","{""height"": 1600, ""width"": 2400}",1024x682,1024x682
8,mask,potted plant,potted-plant,head,20,images/mask/0008_mask_source.jpg,images/mask/0008_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00001/00020/000205428.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00001/00020/000205428_14_potted-plant.jpg,"[1492, 1170]","[1823, 1238]","[1565, 1085, 1751, 1296]","{""height"": 1536, ""width"": 2048}",1024x768,1024x768
9,mask,tea cups,tea-cups,head,13,images/mask/0009_mask_source.jpg,images/mask/0009_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00003/00026/000264457.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00003/00026/000264457_17_tea-cups.jpg,"[-11, 648]","[408, 743]","[28, 560, 368, 805]","{""height"": 1375, ""width"": 1600}",1024x880,1024x880
10,mask,leaves,leaves,head,18,images/mask/0010_mask_source.jpg,images/mask/0010_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00001/00025/000256009.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00001/00025/000256009_1_leaves.jpg,"[1097, 994]","[1390, 1089]","[986, 726, 1503, 1330]","{""height"": 1667, ""width"": 2500}",1024x682,1024x682
11,mask,countertops,countertops,head,20,images/mask/0011_mask_source.jpg,images/mask/0011_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00004/00012/000126665.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00004/00012/000126665_26_countertops.jpg,"[1597, 942]","[2046, 1024]","[1692, 927, 1952, 1012]","{""height"": 1944, ""width"": 2592}",1024x768,1024x768
12,mask,floral arrangements,floral-arrangements,head,26,images/mask/0012_mask_source.jpg,images/mask/0012_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00003/00015/000151450.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00003/00015/000151450_52_floral-arrangements.jpg,"[1124, 1745]","[1720, 1817]","[1253, 1540, 1591, 1995]","{""height"": 2000, ""width"": 3000}",1024x682,1024x682
13,mask,pyramid shaped structures,pyramid-shaped-structures,head,20,images/mask/0013_mask_source.jpg,images/mask/0013_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00004/00038/000387928.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00004/00038/000387928_11_pyramid-shaped-structures.jpg,"[196, 2277]","[810, 2338]","[324, 2054, 682, 2535]","{""height"": 3456, ""width"": 5184}",1024x682,1024x682
14,mask,bottles of alcohol,bottles-of-alcohol,head,16,images/mask/0014_mask_source.jpg,images/mask/0014_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00003/00034/000345693.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00003/00034/000345693_5_bottles-of-alcohol.jpg,"[656, 701]","[828, 746]","[686, 502, 798, 919]","{""height"": 1904, ""width"": 2853}",1024x683,1024x683
15,mask,flower bouquets,flower-bouquets,head,11,images/mask/0015_mask_source.jpg,images/mask/0015_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00004/00036/000361344.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00004/00036/000361344_33_flower-bouquets.jpg,"[296, 830]","[776, 902]","[400, 731, 673, 973]","{""height"": 1644, ""width"": 2500}",1024x673,1024x673
16,mask,curtains,curtains,head,77,images/mask/0016_mask_source.jpg,images/mask/0016_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00000/00008/000086844.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00000/00008/000086844_7_curtains.jpg,"[1694, 52]","[2062, 145]","[1774, 0, 1983, 171]","{""height"": 1536, ""width"": 2048}",1024x768,1024x768
17,mask,tomatoes,tomatoes,head,136,images/mask/0017_mask_source.jpg,images/mask/0017_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00001/00011/000110683.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00001/00011/000110683_11_tomatoes.jpg,"[362, 930]","[805, 1025]","[419, 833, 750, 1096]","{""height"": 2988, ""width"": 3984}",1023x767,1023x767
18,mask,flower,flower,head,29,images/mask/0018_mask_source.jpg,images/mask/0018_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00002/00009/000093253.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00002/00009/000093253_21_flower.jpg,"[1500, 786]","[1781, 881]","[1476, 695, 1807, 945]","{""height"": 1700, ""width"": 2400}",1024x725,1024x725
19,mask,chandeliers,chandeliers,head,27,images/mask/0019_mask_source.jpg,images/mask/0019_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00001/00040/000404664.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00001/00040/000404664_6_chandeliers.jpg,"[775, 309]","[1308, 404]","[873, 11, 1212, 675]","{""height"": 1667, ""width"": 2500}",1024x682,1024x682
20,mask,ski poles,ski-poles,head,64,images/mask/0020_mask_source.jpg,images/mask/0020_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00002/00016/000164268.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00002/00016/000164268_10_ski-poles.jpg,"[470, 913]","[892, 1008]","[472, 637, 890, 1258]","{""height"": 1363, ""width"": 2048}",1024x681,1024x681
21,mask,electric guitar,electric-guitar,head,16,images/mask/0021_mask_source.jpg,images/mask/0021_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00004/00024/000241839.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00004/00024/000241839_1_electric-guitar.jpg,"[825, 1374]","[1487, 1469]","[663, 1152, 1650, 1666]","{""height"": 1667, ""width"": 2500}",1024x682,1024x682
22,mask,cups,cups,head,182,images/mask/0022_mask_source.jpg,images/mask/0022_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00004/00021/000210023.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00004/00021/000210023_34_cups.jpg,"[1045, 1227]","[1269, 1322]","[1058, 1188, 1257, 1335]","{""height"": 1385, ""width"": 2081}",1024x681,1024x681
23,mask,butterfly,butterfly,head,11,images/mask/0023_mask_source.jpg,images/mask/0023_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00000/00026/000262172.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00000/00026/000262172_6_butterfly.jpg,"[2326, 928]","[2718, 1023]","[2255, 710, 2790, 1214]","{""height"": 4016, ""width"": 6016}",1024x683,1024x683
24,mask,pineapples,pineapples,head,35,images/mask/0024_mask_source.jpg,images/mask/0024_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00002/00037/000370660.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00002/00037/000370660_0_pineapples.jpg,"[869, 1497]","[1366, 1592]","[818, 708, 1418, 2355]","{""height"": 2448, ""width"": 3264}",1024x768,1024x768
25,mask,fireplace,fireplace,head,28,images/mask/0025_mask_source.jpg,images/mask/0025_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00002/00030/000305294.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00002/00030/000305294_56_fireplace.jpg,"[77, 839]","[401, 921]","[148, 662, 331, 1071]","{""height"": 1500, ""width"": 2000}",1024x768,1024x768
26,mask,crystal decanter,crystal-decanter,head,23,images/mask/0026_mask_source.jpg,images/mask/0026_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00003/00032/000323575.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00003/00032/000323575_19_crystal-decanter.jpg,"[2647, 1559]","[3213, 1637]","[2773, 1390, 3087, 1778]","{""height"": 3024, ""width"": 4032}",1024x768,1024x768
27,mask,buckets,buckets,head,40,images/mask/0027_mask_source.jpg,images/mask/0027_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00004/00012/000129335.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00004/00012/000129335_3_buckets.jpg,"[2246, 851]","[2611, 946]","[1855, 232, 3004, 1539]","{""height"": 2592, ""width"": 3888}",1024x682,1024x682
28,mask,candlesticks,candlesticks,head,12,images/mask/0028_mask_source.jpg,images/mask/0028_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00002/00031/000318127.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00002/00031/000318127_0_candlesticks.jpg,"[38, 909]","[347, 975]","[106, 256, 281, 1600]","{""height"": 3744, ""width"": 5616}",1024x682,1024x682
29,mask,rack,rack,head,27,images/mask/0029_mask_source.jpg,images/mask/0029_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00001/00037/000372527.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00001/00037/000372527_26_rack.jpg,"[2043, 1030]","[2249, 1125]","[2063, 919, 2230, 1210]","{""height"": 2333, ""width"": 3500}",1024x682,1024x682
